label,source,text,normalized_text,cleaned_text,tokens,stemmed_tokens
1,translated,شى بوتين يوافق علا التعامل بشكل مناسب معا تجربة كوريا الشمالية اماراحشووية شينخوا,شي بوتين يوافق علا التعامل بشكل مناسب معا تجربه كوريا الشماليه اماراحشوويه شينخوا,شي بوتين يوافق علا التعامل بشكل مناسب معا تجربه كوريا الشماليه اماراحشوويه شينخوا,"['شي', 'بوتين', 'يوافق', 'علا', 'ال+تعامل', 'ب+شكل', 'مناسب', 'مع+ا', 'تجرب+ه', 'كوريا', 'ال+شماليه', 'اماراحشوويه', 'شينخوا']","['شي', 'بوتين', 'وافق', 'علا', 'تعامل', 'شكل', 'مناسب', 'معا', 'جرب', 'كوريا', 'شماليه', 'اماراحشوويه', 'شينخوا']"
0,youtube,لكذب فوجه بنادم بركاو من لكذب,لكذب فوجه بنادم بركاو من لكذب,لكذب فوجه بنادم بركاو لكذب,"['ل+كذب', 'فوج+ه', 'ب+نادم', 'ب+ركاو', 'ل+كذب']","['كذب', 'فوج', 'نادم', 'ركاو', 'من', 'كذب']"
0,youtube,الحمدالله رب العالمين بسم الله مشاءالله و لا حولا ولا قوة إلا بالله صدق ربي يبارك و يزيد جنة من جنان الله   الذي  يعلم انه لكل من زار الجزائر  لازم يعرف قيمة هذه الأرض المباركة كلمة حق من اخوكم تونسي,الحمدالله رب العالمين بسم الله مشاءالله و لا حولا ولا قوه الا بالله صدق ربي يبارك و يزيد جنه من جنان الله   الذي  يعلم انه لكل من زار الجزائر  لازم يعرف قيمه هذه الارض المباركه كلمه حق من اخوكم تونسي,الحمدالله رب العالمين بسم الله مشاءالله حولا قوه الا بالله صدق ربي يبارك يزيد جنه جنان الله يعلم انه لكل زار الجزائر يعرف قيمه الارض المباركه كلمه حق اخوكم تونسي,"['ال+حمدالله', 'رب', 'ال+عالم+ين', 'بسم', 'الله', 'مشاءالله', 'حول+ا', 'قوه', 'الا', 'ب+الله', 'صدق', 'رب+ي', 'يبارك', 'يزيد', 'جن+ه', 'جنان', 'الله', 'يعلم', 'ان+ه', 'ل+كل', 'زار', 'ال+جزائر', 'يعرف', 'قيم+ه', 'ال+أرض', 'المبارك+ه', 'ك+لم+ه', 'حق', 'اخو+كم', 'تونسي']","['حمدالله', 'رب', 'عالم', 'بسم', 'الله', 'مشاءالله', 'و', 'لا', 'حول', 'لا', 'قوه', 'الا', 'الله', 'صدق', 'رب', 'بارى', 'و', 'زاد', 'جن', 'من', 'جنة', 'الله', 'الذي', 'علم', 'ان', 'كل', 'من', 'زار', 'جزائر', 'لازم', 'عرف', 'قيمة', 'هذا', 'أرض', 'مبارك', 'كلم', 'حق', 'من', 'اخو', 'تونسي']"
0,translated,حلفاء جباجبو وراء الهجمات على وزير داخلية ساحل العاج,حلفاء جباجبو وراء الهجمات علي وزير داخليه ساحل العاج,حلفاء جباجبو وراء الهجمات علي وزير داخليه ساحل العاج,"['حلفاء', 'جباجبو', 'وراء', 'ال+هجم+ات', 'علي', 'وزير', 'داخلي+ه', 'ساحل', 'ال+عاج']","['حليف', 'جباجبو', 'وراء', 'هجمة', 'علي', 'وزير', 'داخلي', 'ساحل', 'عاج']"
0,translated,السيطرة على المعلومات تغير طريقها فالفترة الي تسبق انتخابات كمبوديا,السيطره علي المعلومات تغير طريقها فالفتره الي تسبق انتخابات كمبوديا,السيطره علي المعلومات تغير طريقها فالفتره تسبق انتخابات كمبوديا,"['ال+سيطره', 'علي', 'ال+معلوم+ات', 'تغير', 'طريق+ها', 'ف+ال+فتره', 'تسبق', 'انتخاب+ات', 'كمبوديا']","['سيطره', 'علي', 'معلومة', 'تغير', 'طريق', 'فتره', 'الي', 'سبق', 'انتخاب', 'كامبوديا']"
0,paraphrased,قال نيجيرياس بوهاري بلي مراهش معول باش يعاود الانتخابات فمنصب وزير ,قال نيجيرياس بوهاري بلي مراهش معول باش يعاود الانتخابات فمنصب وزير ,نيجيرياس بوهاري بلي مراهش معول يعاود الانتخابات فمنصب وزير,"['نيجيرياس', 'ب+وهاري', 'بلي', 'مراهش', 'معول', 'يعاود', 'ال+انتخاب+ات', 'ف+منصب', 'وزير']","['قال', 'نيجيرياس', 'هاري', 'بلي', 'مراهش', 'معول', 'باش', 'عاود', 'انتخاب', 'منصب', 'وزير']"
1,manual,مكانش عروض سياحية فامريكا الجنوبية,مكانش عروض سياحيه فامريكا الجنوبيه,عروض سياحيه فامريكا الجنوبيه,"['عروض', 'سياحي+ه', 'ف+امريكا', 'ال+جنوبيه']","['مكانش', 'عرض', 'سياحي', 'امريكا', 'جنوبيه']"
1,manual,طورو اللقاح تع لحصبة لالمانية فعام 1970,طورو اللقاح تع لحصبه لالمانيه فعام 1970,طورو اللقاح لحصبه لالمانيه فعام 1970,"['طورو', 'ال+لقاح', 'ل+حصب+ه', 'ل+الماني+ه', 'ف+عام', '1970']","['طورو', 'لقاح', 'تع', 'حصب', 'الماني', 'عام', '1970']"
1,paraphrased,الاتحاد الأفريقي ما طلبش من الجزائر البحث عن حلول للحرس الحدودي الليبي,الاتحاد الافريقي ما طلبش من الجزائر البحث عن حلول للحرس الحدودي الليبي,الاتحاد الافريقي طلبش الجزائر البحث حلول للحرس الحدودي الليبي,"['ال+اتحاد', 'ال+افريقي', 'طلبش', 'ال+جزائر', 'ال+بحث', 'حلول', 'ل+ال+حرس', 'ال+حدودي', 'ال+ليبي']","['اتحاد', 'افريقي', 'ما', 'طلبش', 'من', 'جزائر', 'بحث', 'عن', 'حل', 'حرس', 'حدودي', 'ليبي']"
0,translated,البترول هود بزاف بسبة المخزون تاع الخام تاع أمريكا,البترول هود بزاف بسبه المخزون تاع الخام تاع امريكا,البترول هود بزاف بسبه المخزون الخام امريكا,"['ال+بترول', 'هود', 'ب+زاف', 'ب+سبه', 'ال+مخزون', 'ال+خام', 'أمريكا']","['بترول', 'هود', 'زاف', 'سب', 'مخزون', 'تاع', 'خام', 'تاع', 'أمريكا']"
