label,source,text
1,translated,شى بوتين يوافق علا التعامل بشكل مناسب معا تجربة كوريا الشمالية اماراحشووية شينخوا
0,youtube,لكذب فوجه بنادم بركاو من لكذب
0,youtube,الحمدالله رب العالمين بسم الله مشاءالله و لا حولا ولا قوة إلا بالله صدق ربي يبارك و يزيد جنة من جنان الله   الذي  يعلم انه لكل من زار الجزائر  لازم يعرف قيمة هذه الأرض المباركة كلمة حق من اخوكم تونسي
0,translated,حلفاء جباجبو وراء الهجمات على وزير داخلية ساحل العاج
0,translated,السيطرة على المعلومات تغير طريقها فالفترة الي تسبق انتخابات كمبوديا
0,paraphrased,قال نيجيرياس بوهاري بلي مراهش معول باش يعاود الانتخابات فمنصب وزير 
1,manual,مكانش عروض سياحية فامريكا الجنوبية
1,manual,طورو اللقاح تع لحصبة لالمانية فعام 1970
1,paraphrased,الاتحاد الأفريقي ما طلبش من الجزائر البحث عن حلول للحرس الحدودي الليبي
0,translated,البترول هود بزاف بسبة المخزون تاع الخام تاع أمريكا
0,translated,ليسوتو تحتجز رائد جيش بتهمة قتل قائد عسكري
1,translated,السعودية دات كف اقتصادي واعر
1,translated,اتفاق تجاريبيناتالجارتين مصر والسودان
1,manual,لحديثة تع سيرينغيتي تاسست فعام 1940
1,paraphrased,الرايس تاع تركيا عاجبو سياسية تاعو
1,manual,قيس سعيد خسر لنتخابات تع تونس
0,paraphrased,أول مرا سمرا البشرة ربحت ملكة جمال بريطانيا
0,manual,كورونا جاكم من الايرانيين الذين يتفلو عليكم وتلعقون احذيتهم تبركا بهم 
0,translated,الأعلى فهاذي  سمانات: قفزة فأسعار النفط
0,translated,مالا قال ترامب بلي انتهاك إيران للاتفاق النووي ماشي معناتو انسحابت الماريكان هايلي
1,manual,ما أفرجش عن مواطن ألماني فتركيا لكنه منع من مغادرة دوغان
1,paraphrased,وزير الطاقة بيري يلغي زيارة كازاخستان بسبب الإعصار
0,manual, لوباء تع الايدز جا فعام 1981
