text_column,cleaned_text,pos_tagged
اكتشاف علاج نهائي لجميع أنواع السرطان خلال أسبوع ,اكتشاف علاج نهائي ل  جميع نوع ال  سرطان أسبوع,S/S اكتشاف/NOUN-MS علاج/NOUN-MS نهائي/ADJ-MS ل/PREP جميع/NOUN-MS نوع/NOUN-MS ال/DET سرطان/NOUN-MS أسبوع/NOUN-MS E/E
حكومة دولة عربية تعلن عن توزيع الأموال مجان ا على المواطنين ,حكوم دولة عربي أعلن توزيع ال  مال مجان ال  مواطن  ين,S/S حكوم/NOUN-FP دول +ة/NOUN+NSUFF-FS عربي/NOUN-MS أعلن/V توزيع/NOUN-MS ال/DET مال/NOUN-MS مجان/ADJ-MS ال/DET مواطن/NOUN-FP ين/NOUN-MS E/E
رجل يشرب ماء فقط لمدة يوم ا ويبقى بصحة جيدة ,رجل شرب ماء ل  مد و  بقي ب  صح جيد,S/S رجل/NOUN-MS شرب/NOUN-MS ماء/NOUN-MS ل/PREP مد/NOUN-MS و/CONJ بقي/V ب/PREP صح/V جيد/ADJ-MS E/E
علماء يؤكدون أن الأرض مسطحة وليست كروية ,عالم أكد  ون ال  أرض مسطح و  ليس  ت كروي,S/S عالم/NOUN-MS أكد/V ون/NOUN-MS ال/DET أرض/NOUN-FS مسطح/ADJ-MS و/CONJ ليس/V ت/ABBREV كروي/ADJ-MS E/E
إغلاق جميع المدارس في البلاد بسبب تغير المناخ ,إغلاق ال  مدرسة ال  بلد ب  سبب تغير ال  مناخ,S/S إغلاق/NOUN-MS ال/DET مدرس +ة/NOUN+NSUFF-FS ال/DET بلد/NOUN-MS ب/PREP سبب/NOUN-MS تغير/V ال/DET مناخ/NOUN-MS E/E
إطلاق هاتف جديد يعمل بالطاقة الشمسية بدون الحاجة للشحن ,إطلاق هاتف جديد عمل ب  ال  طاق ال  شمسي ب  دون ال  حاج ل  ال  شحن,S/S إطلاق/NOUN-MS هاتف/NOUN-MS جديد/ADJ-MS عمل/V ب/PREP ال/DET طاق/NOUN-MS ال/DET شمسي/NOUN-MS ب/PREP دون/NOUN-MS ال/DET حاج/NOUN-MS ل/PREP ال/DET شحن/NOUN-MS E/E
حكومة عالمية سرية تتحكم بجميع قرارات الدول الكبرى ,حكوم عالمي سري تحكم ب  جميع قرار  ات ال  دولة ال  أكبر,S/S حكوم/NOUN-FP عالمي/ADJ-MS سري/ADJ-MS تحكم/V ب/PREP جميع/NOUN-MS قرار/NOUN-MS ات/NOUN-MS ال/DET دول +ة/NOUN+NSUFF-FS ال/DET أكبر/NOUN-MS E/E
اكتشاف كائنات فضائية تتواصل مع البشر منذ سنوات ,اكتشاف كائن  ات فضائي تواصل ال  بشر سنو  ات,S/S اكتشاف/NOUN-MS كائن/ADJ-MS ات/V فضائي/ADJ-MP تواصل/V ال/DET بشر/NOUN-MS سنو/NOUN-MS ات/NOUN-MS E/E
تناول العسل كل يوم يمنع جميع الأمراض المزمنة ,تناول ال  عسل منع ال  مرض ال  مزمن,S/S تناول/V ال/DET عسل/NOUN-MS منع/NOUN-MS ال/DET مرض/NOUN-MS ال/DET مزمن/NOUN-MS E/E
مدينة تحت الماء تم اكتشافها في المحيط الأطلسي ,مدين ال  ماء اكتشاف  ها ال  محيط ال  أطلسي,S/S مدين/ADJ-MS ال/DET ماء/NOUN-MS اكتشاف/NOUN-MS ها/PRON ال/DET محيط/NOUN-MS ال/DET أطلسي/NOUN-MS E/E
