text_column,cleaned_text
اكتشاف علاج نهائي لجميع أنواع السرطان خلال أسبوع ,اكتشاف علاج نهائي ل  جميع نوع ال  سرطان أسبوع
حكومة دولة عربية تعلن عن توزيع الأموال مجان ا على المواطنين ,حكوم دولة عربي أعلن توزيع ال  مال مجان ال  مواطن  ين
رجل يشرب ماء فقط لمدة يوم ا ويبقى بصحة جيدة ,رجل شرب ماء ل  مد و  بقي ب  صح جيد
علماء يؤكدون أن الأرض مسطحة وليست كروية ,عالم أكد  ون ال  أرض مسطح و  ليس  ت كروي
إغلاق جميع المدارس في البلاد بسبب تغير المناخ ,إغلاق ال  مدرسة ال  بلد ب  سبب تغير ال  مناخ
إطلاق هاتف جديد يعمل بالطاقة الشمسية بدون الحاجة للشحن ,إطلاق هاتف جديد عمل ب  ال  طاق ال  شمسي ب  دون ال  حاج ل  ال  شحن
حكومة عالمية سرية تتحكم بجميع قرارات الدول الكبرى ,حكوم عالمي سري تحكم ب  جميع قرار  ات ال  دولة ال  أكبر
اكتشاف كائنات فضائية تتواصل مع البشر منذ سنوات ,اكتشاف كائن  ات فضائي تواصل ال  بشر سنو  ات
تناول العسل كل يوم يمنع جميع الأمراض المزمنة ,تناول ال  عسل منع ال  مرض ال  مزمن
مدينة تحت الماء تم اكتشافها في المحيط الأطلسي ,مدين ال  ماء اكتشاف  ها ال  محيط ال  أطلسي
