label,source,text,normalized_text,cleaned_text
1,translated,شى بوتين يوافق علا التعامل بشكل مناسب معا تجربة كوريا الشمالية اماراحشووية شينخوا,شي بوتين يوافق علا التعامل بشكل مناسب معا تجربه كوريا الشماليه اماراحشوويه شينخوا,شي بوتين يوافق علا التعامل بشكل مناسب معا تجربه كوريا الشماليه اماراحشوويه شينخوا
0,youtube,لكذب فوجه بنادم بركاو من لكذب,لكذب فوجه بنادم بركاو من لكذب,لكذب فوجه بنادم بركاو لكذب
0,youtube,الحمدالله رب العالمين بسم الله مشاءالله و لا حولا ولا قوة إلا بالله صدق ربي يبارك و يزيد جنة من جنان الله   الذي  يعلم انه لكل من زار الجزائر  لازم يعرف قيمة هذه الأرض المباركة كلمة حق من اخوكم تونسي,الحمدالله رب العالمين بسم الله مشاءالله و لا حولا ولا قوه الا بالله صدق ربي يبارك و يزيد جنه من جنان الله   الذي  يعلم انه لكل من زار الجزائر  لازم يعرف قيمه هذه الارض المباركه كلمه حق من اخوكم تونسي,الحمدالله رب العالمين بسم الله مشاءالله حولا قوه الا بالله صدق ربي يبارك يزيد جنه جنان الله يعلم انه لكل زار الجزائر يعرف قيمه الارض المباركه كلمه حق اخوكم تونسي
0,translated,حلفاء جباجبو وراء الهجمات على وزير داخلية ساحل العاج,حلفاء جباجبو وراء الهجمات علي وزير داخليه ساحل العاج,حلفاء جباجبو وراء الهجمات علي وزير داخليه ساحل العاج
0,translated,السيطرة على المعلومات تغير طريقها فالفترة الي تسبق انتخابات كمبوديا,السيطره علي المعلومات تغير طريقها فالفتره الي تسبق انتخابات كمبوديا,السيطره علي المعلومات تغير طريقها فالفتره تسبق انتخابات كمبوديا
0,paraphrased,قال نيجيرياس بوهاري بلي مراهش معول باش يعاود الانتخابات فمنصب وزير ,قال نيجيرياس بوهاري بلي مراهش معول باش يعاود الانتخابات فمنصب وزير ,نيجيرياس بوهاري بلي مراهش معول يعاود الانتخابات فمنصب وزير
1,manual,مكانش عروض سياحية فامريكا الجنوبية,مكانش عروض سياحيه فامريكا الجنوبيه,عروض سياحيه فامريكا الجنوبيه
1,manual,طورو اللقاح تع لحصبة لالمانية فعام 1970,طورو اللقاح تع لحصبه لالمانيه فعام 1970,طورو اللقاح لحصبه لالمانيه فعام 1970
1,paraphrased,الاتحاد الأفريقي ما طلبش من الجزائر البحث عن حلول للحرس الحدودي الليبي,الاتحاد الافريقي ما طلبش من الجزائر البحث عن حلول للحرس الحدودي الليبي,الاتحاد الافريقي طلبش الجزائر البحث حلول للحرس الحدودي الليبي
0,translated,البترول هود بزاف بسبة المخزون تاع الخام تاع أمريكا,البترول هود بزاف بسبه المخزون تاع الخام تاع امريكا,البترول هود بزاف بسبه المخزون الخام امريكا
